mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source,Type
12639560807591,1327136504,232994.2813,311748.6563,8.199999809,230.5,14.86558342,-26.85366249,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327136605,233994.2656,312410.3438,7.300000191,238.3999939,14.86386967,-26.85680008,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327136734,233994.2656,312410.3438,6.800000191,238.8999939,14.86155128,-26.86064911,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327143281,233994.2656,315417.375,6.900000095,251.8000031,14.8226862,-26.86589813,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327143341,233996.3906,316172.5625,6.099999905,231.1000061,14.82182503,-26.86757851,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327143411,233996.3906,316172.5625,6.900000095,242.6999969,14.82065201,-26.86945915,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327146440,246124.0156,329350.375,7.5,225.3999939,14.76210976,-26.97039413,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327149860,259487.375,343997.375,8.899999619,237.1999969,14.69449806,-27.08539581,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327149911,259487.375,343997.375,8.5,246.8000031,14.69344711,-27.08716583,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327156390,286567.5625,371996.25,9.199999809,223.6999969,14.56468678,-27.32015991,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327156670,287668.125,373410.1875,8.399999619,251.6999969,14.55891323,-27.32995415,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327156760,287668.125,373410.1875,7.800000191,223.0,14.55696678,-27.33323097,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327163041,313534.9688,401629.2813,9.0,241.6000061,14.42745495,-27.54341125,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327169801,336208.9375,424989.5625,3.200000048,208.6000061,14.32127476,-27.72831154,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327222541,293579.25,393876.0938,2.099999905,325.0,14.32967663,-27.35155296,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327228870,297267.0,388336.9688,7.0,334.2999878,14.44267654,-27.40424538,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327228948,298256.0,389025.1563,7.400000095,351.5,14.4453249,-27.40528679,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327229008,298256.0,389025.1563,8.300000191,331.3999939,14.44735527,-27.40595245,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327231660,299925.9688,383950.2188,8.0,14.5,14.53263855,-27.43484306,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327231989,298820.375,382536.0313,6.0,84.0,14.54084015,-27.43269539,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327237268,300300.8125,380437.7813,6.900000095,18.20000076,14.58646679,-27.44519615,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327242119,295482.1563,369921.9688,5.099999905,30.29999924,14.68782711,-27.41669083,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327242269,295426.3438,369233.4063,1.700000048,325.2999878,14.69050789,-27.41543579,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327248589,289020.5938,356653.5313,6.800000191,348.7999878,14.7987566,-27.36178589,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327248630,289020.5938,356653.5313,7.800000191,345.7000122,14.80007172,-27.36181641,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327248849,289008.4688,355975.8125,6.5,1.799999952,14.8074398,-27.36209106,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327334360,328432.1875,394484.9063,9.100000382,257.0,14.68374157,-27.70701408,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327393780,378520.7813,443254.2813,5.300000191,62.79999924,14.5321331,-28.14566422,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327400270,363232.0625,428998.8125,7.699999809,101.1999969,14.5667429,-28.01218033,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327400289,363232.0625,428998.8125,7.199999809,103.1999969,14.56663513,-28.01158714,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327406720,347289.625,416625.125,4.599999905,168.8999939,14.5698452,-27.87481689,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327406820,347289.625,416625.125,1.200000048,50.09999847,14.56993485,-27.87508583,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327406829,347289.625,416625.125,3.200000048,90.0,14.5699749,-27.87500381,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327406870,347289.625,416625.125,6.800000191,71.5,14.57019329,-27.87414932,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327407449,346293.375,415859.9688,5.5,71.5,14.57355976,-27.85643387,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327413268,334084.5938,404787.5625,2.599999905,56.5,14.59279633,-27.75448608,-1,dalhousie_longliner,drifting_longlines
12639560807591,1327492404,362595.5625,440153.9375,5.0,95.59999847,14.39051628,-27.98422623,-1,dalhousie_longliner,drifting_longlines
